gene_id,gene_short_name,timepoint,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000169442,CD52,1,0.34527081123553244,6.515099489911674,0.9808600407946576,0.35200823448349106,0.022940094444660233,5.765515894977264e-33,5.800916162572424e-28
ENSG00000162511,LAPTM5,1,0.3858329169004502,7.007918691966786,0.9890189723099276,0.39011680028676154,0.05328505395851501,2.265870370130968e-74,2.2797828142035723e-69
ENSG00000122406,RPL5,1,0.344463173897535,11.793788288388047,0.9976249685657604,0.34528323242826797,0.04399910116306778,1.0675754063542951e-61,1.0741303193493106e-56
ENSG00000162894,FCMR,1,0.3710619471126115,4.261779233211181,0.9603509458213417,0.38638161260440074,0.04479639735026005,8.720237692354566e-63,8.773779951785623e-58
ENSG00000034510,TMSB10,1,0.3550616752731768,17.891474101886608,0.998854396602308,0.35546890165468625,0.06328381854337903,5.012812969315708e-88,5.043591640947306e-83
ENSG00000114942,EEF1B2,1,0.34812985368994315,7.506324614438886,0.9883763167453687,0.35222399382889136,0.03144882037288888,1.4114960851822794e-44,1.4201626711452985e-39
ENSG00000197756,RPL37A,1,0.3670948647154223,8.201726614599385,0.9904998742630418,0.3706157610454526,0.035559295668540505,3.4859518547618695e-50,3.5073555991501076e-45
ENSG00000187514,PTMA,1,0.3582487603628324,8.880014280941564,0.9957808265109391,0.3597666783945622,0.0250011071778554,8.860008486341572e-36,8.914408938447709e-31
ENSG00000168028,RPSA,1,0.3519866755584611,7.49921212883606,0.9909748805498896,0.3551923287532218,0.0322747251532273,1.0543324240967399e-45,1.060806025180694e-40
ENSG00000163682,RPL9,1,0.34429387011891527,6.56445566873354,0.989577803235631,0.34791996040450246,0.024879318626360822,1.299153002222127e-35,1.3071298016557709e-30
ENSG00000206503,HLA-A,1,0.3415457704359532,7.866418151680246,0.984017435524882,0.3470932100443629,0.01313438745631727,1.4706952534626522e-19,1.4797253223189128e-14
ENSG00000204525,HLA-C,1,0.3426888419021327,6.611901400939713,0.9860012853111291,0.34755415333358164,0.00437126942441331,1.8114560630060095e-7,0.018225784032328666
ENSG00000204287,HLA-DRA,1,0.3534743850424109,15.442659593559112,0.9926513733269999,0.3560911660835119,0.009881336872953127,4.2885084822006666e-15,4.3148399242813785e-10
ENSG00000196126,HLA-DRB1,1,0.36137269647808484,9.223513466070647,0.9755790885467602,0.3704186577188652,0.012340760808923573,1.800813093069981e-18,1.8118700854614306e-13
ENSG00000204257,HLA-DMA,1,0.3545127233704091,3.1510332997886707,0.911006175081729,0.3891441496964658,0.02770282012707932,1.8217802485907057e-39,1.8329659793170526e-34
ENSG00000231389,HLA-DPA1,1,0.34968317690357886,7.773758602945795,0.9837380200620303,0.35546372079990296,0.023077400177585763,3.744383130577342e-33,3.7673736429990865e-28
ENSG00000198755,RPL10A,1,0.36302255013269674,8.742949430628862,0.9919248931235854,0.3659778604703967,0.04084156548133464,2.1694320024983397e-57,2.1827523149936794e-52
ENSG00000096384,HSP90AB1,1,0.3504200810976974,3.074402137104969,0.888345581044455,0.39446369585775143,0.023767892737727687,4.273091535455487e-34,4.2993283174831836e-29
ENSG00000196262,PPIA,1,0.34804472994590385,5.992154915476291,0.9826482997569086,0.3541905379900464,0.029788122679915784,2.602017622404435e-42,2.617994010605998e-37
ENSG00000205542,TMSB4X,1,0.34505319578566856,14.267200866333418,0.9943837491966806,0.3470020463069937,0.0228405426667467,7.884149775365456e-33,7.932558454986199e-28
ENSG00000198034,RPS4X,1,0.3402916837980207,16.385479407407555,0.9983793903154601,0.34084405898092307,0.04134947134834695,4.399709276637175e-58,4.426723491595727e-53
ENSG00000008988,RPS20,1,0.36259900174179693,2.783333029742971,0.8174019950264048,0.4435993598597515,0.03063106141337845,1.8420417630610025e-43,1.853351899486197e-38
ENSG00000147604,RPL7,1,0.3458897495141193,3.3432308380105544,0.9316549777864707,0.37126378086437384,0.018895047260737787,1.9309666057379082e-27,1.942822740697139e-22
ENSG00000137154,RPS6,1,0.35317922132218155,15.889550949316584,0.9977646762971862,0.35397045988125,0.034324707053015505,1.6845024364627054e-48,1.6948452814225863e-43
ENSG00000136942,RPL35,1,0.3521576720082525,7.542860544699403,0.98941015395792,0.3559268829004052,0.027096091952686203,1.2257308337166667e-38,1.2332568210356871e-33
ENSG00000197958,RPL12,1,0.3427251652268677,13.967517222696015,0.9976808516583308,0.3435218433401772,0.03546666836619106,4.663132416611352e-50,4.691764049649345e-45
ENSG00000172757,CFL1,1,0.3409490630891989,3.557094381310537,0.9507949369918132,0.3585936881068338,0.01862864437539471,4.465231643186043e-27,4.492648165475205e-22
ENSG00000123416,TUBA1B,1,0.38047613111588924,2.4576946555480137,0.8524127525217245,0.4463519931984974,0.05252351434916028,2.482183948861876e-73,2.497424558307888e-68
ENSG00000135486,HNRNPA1,1,0.3530743501620607,3.716429827047551,0.9535052669814748,0.37029092799853447,0.02745440908255602,3.9760830594842814e-39,4.0004962094695145e-34
ENSG00000150991,UBC,1,0.36164781590015566,6.962979466200922,0.9855821621168516,0.36693827242510335,0.022315265337452324,4.111007859091614e-32,4.136249447346437e-27
ENSG00000122026,RPL21,1,0.3816746091976829,5.218193722031251,0.9748805498896309,0.3915091025673796,0.03448122469619424,1.0302897002293074e-48,1.0366156789887153e-43
ENSG00000133112,TPT1,1,0.35153192918687337,13.916865327861068,0.9967867221772053,0.35266514026094664,0.0237418711994426,4.637288584735906e-34,4.6657615366461846e-29
