Estimated Number of Cells,Mean Read Pairs per Cell
4176,4343
2310,8046
42,454195
3378,3696
4782,2452
1661,5719
9695,1258
3082,3823
948,9058
3586,3232
418,25619
986,11454
988,16642
1089,13863
988,18152
4891,6287
0,0
37,747788
5637,5543
11,3089529
190,138355
4043,14348
140,105586
1935,13476
10441,2475
134,210086
493,69622
