"","gene_id","gene_short_name","cluster","marker_score","mean_expression","fraction_expressing","specificity","pseudo_R2","marker_test_p_value","marker_test_q_value"
"1","ENSG00000117616","RSRP1","1",0.100937875289495,2.65761329683348,0.622497151229041,0.162149939305275,0.0607376488840634,9.98368082565869e-71,8.6674922476888e-65
"2","ENSG00000143297","FCRL5","1",0.139724513684219,1.99340232432682,0.48819794888491,0.286204630730962,0.11380712976599,3.44990776013233e-131,2.99509262048304e-125
"3","ENSG00000116191","RALGPS2","1",0.166926275456418,3.38021540698276,0.692658310271854,0.240993680406293,0.15594530910157,2.19198845630317e-179,1.9030098501549e-173
"4","ENSG00000115355","CCDC88A","1",0.0949576108643644,1.8790882241359,0.507244017580986,0.187203017824066,0.0603908234099057,2.47584444444468e-70,2.14944396795576e-64
"5","ENSG00000211592","IGKC","1",0.15281708105431,5.1403111877295,0.654240599055836,0.233579330409711,0.124077228341648,6.42264975551436e-143,5.57592614764588e-137
"6","ENSG00000155189","AGPAT5","1",0.089634250404992,1.79006745165888,0.480709750936025,0.186462309596297,0.0655975253037461,2.96204476884556e-76,2.57154655878958e-70
"7","ENSG00000168066","SF1","1",0.0961376819399729,3.82488734325175,0.761517174019209,0.126244929490648,0.0411625041637767,1.79587845096484e-48,1.55912061126034e-42
"8","ENSG00000251562","MALAT1","1",0.132348129773376,183.235505051145,1,0.132348129773376,0.440064949778938,0,0
"9","ENSG00000118308","LRMP","1",0.0959098053537118,1.72364149790009,0.476640078137718,0.201220605972627,0.0556327938875229,6.37155178756882e-65,5.53156462920647e-59
"10","ENSG00000211897","IGHG3","1",0.104605638741812,3.0525790402944,0.635520104183624,0.164598473050961,0.0760517055375857,3.76345498120005e-88,3.26730365720853e-82
"11","ENSG00000211899","IGHM","1",0.185607745144035,8.04091907095252,0.79228390037441,0.234269237398769,0.183095307743727,1.54183390068628e-210,1.33856777022321e-204
"12","ENSG00000196628","TCF4","1",0.087700946036017,2.05635523830511,0.546638450268598,0.160436840827651,0.0593402790385327,3.87642902236602e-69,3.36538387863142e-63
"13","ENSG00000100201","DDX17","1",0.0991415588921612,2.3333927752998,0.598079114439199,0.165766629361608,0.0541110578133528,3.42329103829054e-63,2.97198488754854e-57
"14","ENSG00000198888","MT-ND1","1",0.106955358072941,34.0313948030435,0.996744261761354,0.107304714133934,0.200814349668278,6.50561463859687e-231,5.64795343833209e-225
"15","ENSG00000198763","MT-ND2","1",0.10082113148875,17.4558568589771,0.970372782028325,0.103899381099713,0.0813500186778541,3.49495878842595e-94,3.03420439151261e-88
"16","ENSG00000198804","MT-CO1","1",0.0923775004145271,106.802695832777,0.999511639264203,0.0924226360010488,0.237524275433592,3.09120797087606e-273,2.68368165924359e-267
"17","ENSG00000198712","MT-CO2","1",0.094042227705633,102.367152839502,0.999674426176135,0.094072855364876,0.268366426455631,6.51822400325935e-309,5.65890046001366e-303
"18","ENSG00000228253","MT-ATP8","1",0.0978262492543226,20.9587270455424,0.99072114601986,0.0987424661796424,0.143802815876348,1.77023837794335e-165,1.53686077162557e-159
"19","ENSG00000198899","MT-ATP6","1",0.0995846400120377,34.7451711219409,0.997558196321016,0.0998284013697696,0.208549259107556,8.09454407982813e-240,7.02740795560806e-234
"20","ENSG00000198938","MT-CO3","1",0.0996115581864055,82.3074817750639,0.999674426176135,0.0996439996644014,0.292672319619058,0,0
"21","ENSG00000198840","MT-ND3","1",0.0882015983236418,37.1585849295308,0.99641868793749,0.0885186110933069,0.127028990595926,2.71883479843251e-146,2.36039993161596e-140
"22","ENSG00000212907","MT-ND4L","1",0.112447781229891,62.0705543936348,0.999186065440339,0.112539380921346,0.311234440875085,0,0
"23","ENSG00000198886","MT-ND4","1",0.105555017332181,16.7106456379147,0.980302783656194,0.107675933489138,0.136794776738406,1.85156865470751e-157,1.6074689526828e-151
"24","ENSG00000198786","MT-ND5","1",0.0871532053387426,19.3946546095285,0.983884095718704,0.088580764459943,0.0786564337623803,4.07729528197215e-91,3.53976913576863e-85
"25","ENSG00000198727","MT-CYB","1",0.110776997075074,61.5978650649339,0.999023278528406,0.110885301129572,0.268192359543756,1.03700929045531e-308,9.00296207657429e-303
"26","ENSG00000163131","CTSS","10",0.180456145222192,4.23576677243426,0.946304044630405,0.190695734892132,0.395294878585286,0,0
"27","ENSG00000163191","S100A11","10",0.191858233451355,4.29787109819194,0.938981868898187,0.20432581267675,0.431664068988324,0,0
"28","ENSG00000163220","S100A9","10",0.327438038581647,20.3819286527944,0.98326359832636,0.333011452004314,0.700668103872611,0,0
"29","ENSG00000163221","S100A12","10",0.284152651152203,3.43178361693003,0.78626220362622,0.361396808649453,0.402423932311647,0,0
"30","ENSG00000143546","S100A8","10",0.342720101060012,37.2877644660564,0.98744769874477,0.347076712514165,0.736969981351753,0,0
"31","ENSG00000197956","S100A6","10",0.207257403956316,21.2545168734859,0.998953974895398,0.207474427415956,0.660785530153049,0,0
"32","ENSG00000163931","TKT","10",0.185382285257838,2.30261021242747,0.868898186889819,0.213353288169935,0.313630030430882,1.29059441710463e-280,1.12045019272006e-274
"33","ENSG00000121552","CSTA","10",0.29517927848373,1.90351833662124,0.839609483960948,0.351567346632616,0.442189701657697,0,0
"34","ENSG00000038427","VCAN","10",0.220844216932979,2.37099573759798,0.817294281729428,0.270213828568167,0.396323919675606,0,0
"35","ENSG00000170458","CD14","10",0.252557357202327,1.51052053868686,0.714086471408647,0.353678955300914,0.33106192454168,2.70825436087228e-296,2.35121435546105e-290
