gene_short_name,term,q_value,estimate
RALGPS2,timepoint_prettyTimepoint 2,1.002201362280747e-82,-0.33546980098024
RALGPS2,timepoint_prettyTimepoint 3,1.17433309820536e-218,0.417932804837696
RALGPS2,ptcll_11,1.55950782156748e-36,-0.301777933995502
RALGPS2,ptcll_12,6.71529872436496e-8,-0.117357070750181
RALGPS2,ptcll_5,0,0.798728863006709
RALGPS2,ptcll_6,6.605494508803981e-14,0.151222142010746
RALGPS2,ptcll_7,1.721051244124664e-35,0.28445044981102
RALGPS2,ptcll_8,1.438840673990704e-22,-0.288536273741984
RALGPS2,ptcll_9,0.307797895873913,-0.0472380557204055
FLNB,timepoint_prettyTimepoint 2,1.95048396402565e-24,0.592786099139485
FLNB,timepoint_prettyTimepoint 3,2.5972672841582882e-55,0.755187635896952
FLNB,ptcll_11,1.03845737143296e-8,-0.491612779506142
FLNB,ptcll_12,1,-0.0719763246377586
FLNB,ptcll_5,0.11420482177073249,0.161124789278061
FLNB,ptcll_6,9.465060368039201e-8,-0.395284543138054
FLNB,ptcll_7,0.1433440011848495,-0.188258051024744
FLNB,ptcll_8,3.2167553808673803e-13,-0.817549132244864
FLNB,ptcll_9,2.228290232670856e-16,-0.936285301591641
DGKG,timepoint_prettyTimepoint 2,7.44781330714008e-57,-2.03196484559177
DGKG,timepoint_prettyTimepoint 3,3.379562119667096e-5,-0.270083565475712
DGKG,ptcll_11,0.866698413730161,0.108788770948638
DGKG,ptcll_12,5.515767874781108e-5,0.38744670412023
DGKG,ptcll_5,3.6411603534529303e-19,0.835400770387224
DGKG,ptcll_6,4.100412927843512e-48,1.1866031463212
DGKG,ptcll_7,1,-0.107941105319313
DGKG,ptcll_8,1,0.0686512769815838
DGKG,ptcll_9,6.41307021711164e-66,1.50434973246731
ZDHHC19,timepoint_prettyTimepoint 2,7.08645505387384e-24,2.20290889200029
ZDHHC19,timepoint_prettyTimepoint 3,0.001137972810651474,0.793832951736166
ZDHHC19,ptcll_11,1,6.96156301207201
ZDHHC19,ptcll_12,1,10.618789181629
ZDHHC19,ptcll_5,1,7.92474510821174
ZDHHC19,ptcll_6,1,8.41773338281272
ZDHHC19,ptcll_7,1,-0.528761737922013
ZDHHC19,ptcll_8,1,-0.403005476761722
ZDHHC19,ptcll_9,1,0.0343368388727187
PDE4D,timepoint_prettyTimepoint 2,1.165082409252915e-6,2.24279067248811
PDE4D,timepoint_prettyTimepoint 3,3.87661185515945e-7,2.1498010019328
PDE4D,ptcll_11,0.1447625265394552,-2.45495878878286
PDE4D,ptcll_12,1,-29.8756810159556
PDE4D,ptcll_5,1,0.168634650634089
PDE4D,ptcll_6,1,-0.404201037066361
PDE4D,ptcll_7,1,-0.975880774780981
PDE4D,ptcll_8,0.21052619505137,1.41977989438007
PDE4D,ptcll_9,1,-29.7310959472041
DENND3,timepoint_prettyTimepoint 2,0.0278399279298842,4.05109459085346
DENND3,timepoint_prettyTimepoint 3,0.0072685465494444,5.08141894110217
DENND3,ptcll_11,1,-38.8054477860422
DENND3,ptcll_12,1,-37.1440186474641
DENND3,ptcll_5,0.0719295626839812,-5.33567698158056
DENND3,ptcll_6,1,-1.47168910212927
DENND3,ptcll_7,1,-1.43649747413339
DENND3,ptcll_8,0.3161135754624144,-5.2457659188242
DENND3,ptcll_9,1,-0.767431975975722
MALAT1,timepoint_prettyTimepoint 2,2.5685194719766402e-235,-0.331348696535818
MALAT1,timepoint_prettyTimepoint 3,0,0.485611523105187
MALAT1,ptcll_11,6.009757200557139e-159,0.326141987140588
MALAT1,ptcll_12,4.4348266649484535e-4,0.0424111332513314
MALAT1,ptcll_5,0,0.862828514100512
MALAT1,ptcll_6,0,0.908968458634866
MALAT1,ptcll_7,4.66734631427499e-256,0.433493123392315
MALAT1,ptcll_8,7.626019692904848e-37,0.192179499884608
MALAT1,ptcll_9,1.640939905631214e-28,0.149566159374116
BHLHE41,timepoint_prettyTimepoint 2,0.00357289089502106,1.4031326126661
BHLHE41,timepoint_prettyTimepoint 3,0.334289059785383,0.335518967052318
BHLHE41,ptcll_11,0.004177932998903785,2.07573142325396
BHLHE41,ptcll_12,0.5249085905252,-4.95153721820052
BHLHE41,ptcll_5,1,-0.151775131846635
BHLHE41,ptcll_6,1,-0.442411212937248
BHLHE41,ptcll_7,1,-1.24045722542104
BHLHE41,ptcll_8,1,-0.632824192817679
BHLHE41,ptcll_9,1,-0.77345282379863
GRB2,timepoint_prettyTimepoint 2,2.996275256595131e-57,-0.258869616419636
GRB2,timepoint_prettyTimepoint 3,2.789850314862856e-127,0.286784532684859
GRB2,ptcll_11,3.241755653819679e-148,-0.495783019263017
GRB2,ptcll_12,8.287386069554604e-54,-0.247299966569535
GRB2,ptcll_5,0.2742064279975468,-0.0305992288478324
GRB2,ptcll_6,6.04505130651756e-10,-0.099257509085805
GRB2,ptcll_7,0.5864205900153432,0.0298991249883729
GRB2,ptcll_8,1.61933908484552e-146,-0.645103306464759
GRB2,ptcll_9,0.29611698940122044,0.0383485448529097
DDX17,timepoint_prettyTimepoint 2,9.31392717837288e-58,-0.351096824144118
DDX17,timepoint_prettyTimepoint 3,1.511767837813104e-229,0.505998795560463
DDX17,ptcll_11,7.19046991014443e-20,0.276105746377592
DDX17,ptcll_12,1.02711653729048e-55,0.421664188038673
DDX17,ptcll_5,2.54861596380492e-266,0.943179414135187
DDX17,ptcll_6,3.7418910550519594e-58,0.427046345035008
DDX17,ptcll_7,1.152124365438297e-201,0.869394759863292
DDX17,ptcll_8,1.434119378823859e-13,0.267656794644357
