gene_id,gene_short_name,timepoint,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000142669,SH3BGRL3,1,0.3463350838686737,12.850065969283243,0.9992774566473989,0.34658550692280865,0.02455289868772042,6.076491582040551e-14,6.1138012403542805e-9
ENSG00000197747,S100A10,1,0.3386259336412673,7.100456803014985,0.9848265895953757,0.34384320774725896,0.006299818783229579,1.455949593964788e-4,1
ENSG00000163191,S100A11,1,0.3260783954333444,7.202754338253613,0.9747109826589595,0.3345385465379901,8.37709660703889e-4,0.16613979993450703,1
ENSG00000197956,S100A6,1,0.3352089431946027,24.486526310073195,1,0.3352089431946027,0.0056631715422157105,3.1663572518700914e-4,1
ENSG00000196154,S100A4,1,0.3414584933905376,21.549859519583837,0.9992774566473989,0.34170539034888214,0.012940124928562174,5.153436275171657e-8,0.00518507837390121
ENSG00000158869,FCER1G,1,0.3587539356608431,6.448240922847503,0.9638728323699421,0.37220048497346847,0.023089342506689543,3.3711645501971e-13,3.39186350053531e-8
ENSG00000115956,PLEK,1,0.3651977204711155,2.144667566759721,0.7998554913294798,0.45657962523218054,0.055860962953905635,8.126286059968569e-30,8.176181456376777e-25
ENSG00000034510,TMSB10,1,0.32398143611513786,30.311666636174394,1,0.32398143611513786,1.7072679679957698e-4,0.531906500794424,1
ENSG00000187514,PTMA,1,0.3247750826657934,9.65189810181109,0.9927745664739884,0.32713880233585013,1.4160609727163152e-4,0.5691555784638056,1
ENSG00000234745,HLA-B,1,0.34288110939622346,16.95639112037107,0.9992774566473989,0.34312903499954683,0.018509873914542896,7.2515992601195e-11,7.296124079576633e-6
ENSG00000146278,PNRC1,1,0.3327947507473281,2.684183653409897,0.8728323699421965,0.3812814031740912,0.014212687332382061,1.1441969216178446e-8,0.0011512222907165781
ENSG00000112096,SOD2,1,0.36868505783150896,2.2298253603027383,0.7355491329479769,0.5012378389379257,0.08179657478467559,5.490262270843884e-43,5.523972481186866e-38
ENSG00000075624,ACTB,1,0.3338470854688679,39.429711396532944,1,0.3338470854688679,0.0024734869461220813,0.017330557672367995,1
ENSG00000130066,SAT1,1,0.3515977307620561,12.497648577738422,0.9826589595375722,0.35780239659903357,0.012671777897535399,7.081525614099123e-8,0.0071250061813696915
ENSG00000185201,IFITM2,1,0.36768772132431166,6.491480686345849,0.9089595375722543,0.40451494937428245,0.03479755372655865,3.845079422230174e-19,3.8686882098826674e-14
ENSG00000142089,IFITM3,1,0.3697663115570418,4.780811031572693,0.759393063583815,0.4869234778258287,0.11143697673285838,4.181877806655628e-58,4.207554536388494e-53
ENSG00000167996,FTH1,1,0.36632206550762064,65.88690668122138,0.9992774566473989,0.3665869404646037,0.05368534805911258,1.0300976357921818e-28,1.0364224352759458e-23
ENSG00000251562,MALAT1,1,0.3533237134243099,35.5310698073185,0.9971098265895953,0.3543478401298876,0.023072616441649183,3.437852727931749e-13,3.45896114368125e-8
ENSG00000172757,CFL1,1,0.33038685204179713,6.614732966943924,0.9732658959537572,0.3394620662404211,0.00192561189832124,0.035769453834221934,1
ENSG00000122862,SRGN,1,0.4031427809988319,6.537321113454288,0.9776011560693642,0.41237960746665436,0.07465810314253596,2.3401561678803518e-39,2.354524726751137e-34
ENSG00000197746,PSAP,1,0.33626196008602105,8.196478657473993,0.9804913294797688,0.3429525075600981,0.0029630023024609037,0.009199890245982122,1
ENSG00000197728,RPS26,1,0.32315082439876214,7.654459742541387,0.976878612716763,0.33079936462121806,0.007559217102960659,3.1665851662955534e-5,1
ENSG00000092841,MYL6,1,0.34510137825826104,6.879503208089327,0.9898843930635838,0.34862796168571775,0.009998775513099451,1.6982677670586695e-6,0.17086951311484097
ENSG00000150991,UBC,1,0.3283811352288128,5.1589461425879435,0.9696531791907514,0.3386583391629485,0.0033059611957388024,0.005937830424165523,1
ENSG00000136156,ITM2B,1,0.3276925384166404,3.6185616378731456,0.9335260115606936,0.35102668201906373,0.012492110225874126,8.761660364265082e-8,0.00881545695890167
ENSG00000100906,NFKBIA,1,0.3805306991582805,6.665677715510049,0.9002890173410405,0.42267615380020884,0.017114061549462198,3.7425622515261115e-10,3.7655415837504816e-5
ENSG00000140264,SERF2,1,0.3409753657890612,8.416338546665138,0.9971098265895953,0.34196370018265265,0.006180652116889347,1.6832887549422703e-4,1
ENSG00000166710,B2M,1,0.35550916687786993,27.432775442206417,0.9992774566473989,0.35576622339766595,0.05021742941182998,5.8974398428019674e-27,5.933650123436772e-22
ENSG00000108518,PFN1,1,0.3296341895562279,10.039770437551612,0.990606936416185,0.332759823738745,2.704152835416921e-4,0.4314507511892863,1
ENSG00000173812,EIF1,1,0.33255271101373907,9.305570924417333,0.994942196531792,0.33424324767103475,0.005208598973328658,5.530524854610086e-4,1
ENSG00000132475,H3F3B,1,0.38293549999564036,7.778743648795292,0.986271676300578,0.38826573772451745,0.0658910061239594,6.634656370635115e-35,6.675393160750814e-30
ENSG00000101439,CST3,1,0.3313565063125281,16.633279681429062,0.9963872832369942,0.3325579439713843,1.8757648105806443e-4,0.5123261517603942,1
ENSG00000204103,MAFB,1,0.38769114052511267,2.4453344989213317,0.7947976878612717,0.487785944078869,0.11304499153724949,6.292772841676439e-59,6.331410466924332e-54
ENSG00000125534,PPDPF,1,0.3392437144431245,2.8889592445656382,0.8988439306358381,0.3774222675155019,0.02559693799046106,1.7911274907330165e-14,1.8021250135261173e-9
ENSG00000104904,OAZ1,1,0.3354091136609407,8.228540051562959,0.9971098265895953,0.3363813139903927,0.005460641699744346,4.058140839768732e-4,1
