id,module,supermodule,dim_1,dim_2,gene_short_name
ENSG00000162458,7,3,-4.506025265653071,-0.37795313699514854,FBLIM1
ENSG00000090020,7,3,-4.526803921658931,-0.0979563842561959,SLC9A1
ENSG00000142748,7,3,-4.598558854062495,-0.26735743387014854,FCN3
ENSG00000174950,7,3,-4.596816967923579,-0.44234784944326866,CD164L2
ENSG00000197989,7,3,-4.412839840848384,-0.5824045787599801,SNHG12
ENSG00000175130,7,3,-4.187437485654292,-0.6181620012071847,MARCKSL1
ENSG00000185668,7,3,-4.434513043363032,-0.43950077398092735,POU3F1
ENSG00000222009,7,3,-4.589089344937739,-0.06314524514944542,BTBD19
ENSG00000280670,7,3,-4.457487534482417,-0.25442978246481407,CCDC163
ENSG00000132780,7,3,-4.254934739072261,-0.5766558299806832,NASP
ENSG00000283445,7,3,-4.562479447324214,-0.503836954667878,AL136985.3
ENSG00000143107,7,3,-4.528082798917231,-0.5734855781343697,FNDC7
ENSG00000085433,7,3,-4.310312699277339,-0.5438738714006661,WDR47
ENSG00000155380,7,3,-4.031786393124995,-0.6311369787004708,SLC16A1
ENSG00000203814,7,3,-4.350018452603755,-0.37421592576773155,HIST2H2BF
ENSG00000233030,7,3,-4.490332554776606,-0.4332481275346993,AC243772.2
ENSG00000183598,7,3,-4.396585892636714,-0.3409419904497384,HIST2H3D
ENSG00000272993,7,3,-4.52399105926269,-0.310523236825776,AC239868.3
ENSG00000184270,7,3,-4.278417061765132,-0.3296521554735421,HIST2H2AB
ENSG00000120370,7,3,-4.37374110122436,-0.5802745471742867,GORAB
ENSG00000116132,7,3,-4.430059384305415,-0.5963558803346871,PRRX1
ENSG00000162783,7,3,-4.268707226712642,-0.5842374215868233,IER5
ENSG00000168148,7,3,-4.51153988738769,-0.40517815454275596,HIST3H3
ENSG00000181218,7,3,-4.478967617947993,-0.2707873235491036,HIST3H2A
ENSG00000115738,7,3,-4.531579922635493,-0.2879932771471261,ID2
ENSG00000270210,7,3,-4.329182576138911,-0.03214582307608116,AC104695.3
ENSG00000213626,7,3,-4.5575723161291455,-0.3822229753282784,LBH
ENSG00000115875,7,3,-4.221804570157466,-0.6126018415239571,SRSF7
ENSG00000239605,7,3,-4.500428151090083,-0.522397483423066,STPG4
ENSG00000168906,7,3,-4.1713513841223095,-0.5567228446748971,MAT2A
ENSG00000115844,7,3,-4.23893303771728,-0.6208920131471871,DLX2
ENSG00000115419,7,3,-3.9322432984899858,-0.7021915565279244,GLS
ENSG00000173559,7,3,-4.030973862607417,-0.5262609372881173,NABP1
ENSG00000206573,7,3,-4.383146237332759,-0.6203930030611275,THUMPD3-AS1
ENSG00000198218,7,3,-3.6091818322729448,-0.4861523757723092,QRICH1
ENSG00000230454,7,3,-4.414425324399409,-0.4485610376146554,U73166.1
ENSG00000012171,7,3,-4.576532315213618,-0.11685081823141563,SEMA3B
ENSG00000179564,7,3,-4.578884076077876,-0.016149724557709577,LSMEM2
ENSG00000168374,7,3,-4.144374321896968,-0.5986432681825875,ARF4
ENSG00000269028,7,3,-4.219866703946528,-0.3005742679384469,MTRNR2L12
ENSG00000181744,7,3,-4.251948784787593,-0.5784890304353951,C3orf58
ENSG00000163660,7,3,-3.8539552201818803,-0.5780278096941232,CCNL1
ENSG00000156976,7,3,-4.187926720578608,-0.7324154029634713,EIF4A2
ENSG00000185112,7,3,-4.563386868436274,-0.10290011270315635,FAM43A
ENSG00000138769,7,3,-4.6214856614660595,-0.16290422780783165,CDKL2
ENSG00000145390,7,3,-4.265687416989741,-0.6215304981020211,USP53
ENSG00000151014,7,3,-3.8659862985205034,-0.617236579492402,NOCT
ENSG00000205097,7,3,-4.444990109403071,-0.4465492616441964,FRG2
ENSG00000145632,7,3,-4.345440339047847,-0.5631672988680123,PLK2
ENSG00000145780,7,3,-4.158571194608149,-0.5814660440233468,FEM1C
ENSG00000064651,7,3,-3.856891106564937,-0.4478803525713204,SLC12A2
ENSG00000164404,7,3,-4.518616150815425,-0.5621138463762521,GDF9
ENSG00000120709,7,3,-4.143042515714106,-0.6288280139711617,FAM53C
ENSG00000156427,7,3,-4.499001454312739,-0.5161672483232735,FGF18
ENSG00000244945,7,3,-4.577090214688716,-0.2203306804445504,AC136604.2
ENSG00000137265,7,3,-3.9098596086096147,-0.7090541969087838,IRF4
ENSG00000170542,7,3,-3.797872971494136,-0.7872695575502633,SERPINB9
ENSG00000007944,7,3,-4.250007580716548,-0.5921185861376046,MYLIP
ENSG00000278463,7,3,-4.243304203946528,-0.34521087510855186,HIST1H2AB
ENSG00000276410,7,3,-4.344142388303218,-0.41745599611074913,HIST1H2BB
ENSG00000197061,7,3,-4.39148659606689,-0.46769663198263633,HIST1H4C
ENSG00000187475,7,3,-4.539457272489009,-0.3122014652040719,HIST1H1T
ENSG00000180596,7,3,-4.462033223111567,-0.30851134164602745,HIST1H2BC
ENSG00000273802,7,3,-4.4758815278601025,-0.31779357297689903,HIST1H2BG
ENSG00000124635,7,3,-4.473230790097651,-0.3116221080568551,HIST1H2BJ
ENSG00000196787,7,3,-4.4006766786169385,-0.2925747285631417,HIST1H2AG
ENSG00000276180,7,3,-4.4219569673132275,-0.3507238279131173,HIST1H4I
ENSG00000197903,7,3,-4.502018879849849,-0.2899832378175973,HIST1H2BK
ENSG00000274997,7,3,-4.326280068356929,-0.3208062301424264,HIST1H2AH
ENSG00000185130,7,3,-4.36326165099853,-0.3617864499834298,HIST1H2BL
ENSG00000124657,7,3,-4.602259110410151,-0.2442426334169625,OR2B6
ENSG00000204569,7,3,-4.39425701995605,-0.4344616781023263,PPP1R10
ENSG00000204388,7,3,-4.334990929562983,-0.6192625413683175,HSPA1B
ENSG00000204386,7,3,-4.3471989144873,-0.5820092807558297,NEU1
ENSG00000204256,7,3,-4.30889792342895,-0.48192557199270714,BRD2
ENSG00000112081,7,3,-4.296932648618159,-0.506186808183503,SRSF3
ENSG00000272223,7,3,-4.2765030374121045,-0.5969526420381783,AL136304.1
ENSG00000178233,7,3,-4.513009022672114,-0.4630095611360787,TMEM151B
ENSG00000112773,7,3,-4.2181653489660595,-0.4476441989687203,TENT5A
ENSG00000272017,7,3,-4.502091835935054,-0.19006701810629356,AL137784.2
ENSG00000123505,7,3,-4.20596880813354,-0.5634939323213815,AMD1
ENSG00000164442,7,3,-4.187953900296626,-0.6919361005571603,CITED2
ENSG00000155034,7,3,-4.06998248000854,-0.21328469617636192,FBXL18
ENSG00000172115,7,3,-4.150216530759272,-0.5704838882234811,CYCS
ENSG00000273237,7,3,-4.408184956510005,-0.37303277356894005,AC004520.1
ENSG00000180233,7,3,-4.11640114684814,-0.6285926948335885,ZNRF2
ENSG00000185955,7,3,-4.513449143369136,-0.4051873336580514,C7orf61
ENSG00000166924,7,3,-4.524751614530024,-0.3708487401750802,NYAP1
ENSG00000205236,7,3,-4.413166951138911,-0.5699334989336251,AC105052.1
ENSG00000006652,7,3,-4.283413361508784,-0.577137793138337,IFRD1
ENSG00000181016,7,3,-4.472366761166987,-0.5051540981081246,LSMEM1
ENSG00000146809,7,3,-4.462443303067622,-0.27617582185537803,ASB15
ENSG00000271344,7,3,-4.599055718381343,-0.24960168702871788,AC018638.6
ENSG00000226179,7,3,-4.431519459683833,-0.44372912748129356,LINC00685
ENSG00000149970,7,3,-4.382719944913325,-0.5523978124407052,CNKSR2
ENSG00000233785,7,3,-4.5546683778356885,-0.1043258558061837,AC131011.1
ENSG00000174010,7,3,-4.396081875760493,-0.42667003972799766,KLHL15
ENSG00000215301,7,3,-4.003342102963862,-0.5117371927049874,DDX3X
ENSG00000184205,7,3,-4.064584206540522,-0.6342976938036202,TSPYL2
ENSG00000238269,7,3,-4.55788416763061,-0.48111053808004844,PAGE2B
ENSG00000122126,7,3,-4.2257217874121045,0.10690466062753212,OCRL
ENSG00000165359,7,3,-4.449891995389399,-0.3766199003008126,INTS6L
ENSG00000232611,7,3,-4.438941906888423,-0.4790582309511422,AL683813.1
ENSG00000173530,7,3,-4.419322442014155,-0.5415469060686349,TNFRSF10D
ENSG00000169495,7,3,-4.497802208859858,-0.3362819801119088,HTRA4
ENSG00000254162,7,3,-4.334548901517329,-0.5596933017519234,AC009812.3
ENSG00000260317,7,3,-4.317534874875483,-0.5730802665498971,AC009812.4
ENSG00000155096,7,3,-3.6856207360815385,-0.5420045505312203,AZIN1
ENSG00000104419,7,3,-4.268931340176997,-0.0348986039903878,NDRG1
ENSG00000198576,7,3,-4.246132325131831,-0.48676523072988975,ARC
ENSG00000086061,7,3,-4.372098874051509,-0.47897192342550743,DNAJA1
ENSG00000165280,7,3,-4.2275905122351025,-0.5561277519014596,VCP
ENSG00000106829,7,3,-4.402731369931636,-0.522452677324128,TLE4
ENSG00000123975,7,3,-4.234922360379634,-0.6118594060686349,CKS2
ENSG00000130222,7,3,-4.475727509458003,-0.3701830755022286,GADD45G
ENSG00000271314,7,3,-4.658399533231196,-0.3044087539461373,AL161729.2
ENSG00000059769,7,3,-4.159274052579341,-0.5090793023851632,DNAJC25
ENSG00000233569,7,3,-4.531814049680171,-0.44953163965017784,AL161630.1
ENSG00000167103,7,3,-4.246944378812251,-0.5816201816347359,PIP5KL1
ENSG00000188229,7,3,-4.179284523923335,-0.640065039232087,TUBB4B
ENSG00000197768,7,3,-4.462276886899409,-0.5502003083971261,STPG3
ENSG00000269821,7,3,-4.483269642789302,-0.5022843728807687,KCNQ1OT1
ENSG00000110321,7,3,-4.177167843778071,-0.5227893243578194,EIF4G2
ENSG00000166796,7,3,-4.493334721524653,-0.4231390605715035,LDHC
ENSG00000267811,7,3,-4.578063439328608,-0.018644417360138776,AP001160.2
ENSG00000269176,7,3,-4.5769886483740185,-0.17948981626303184,AP001160.3
ENSG00000162231,7,3,-4.5286979188513135,-0.036800588205170515,NXF1
ENSG00000283268,7,3,-4.354913662869868,-0.5993512521532296,TEX54
ENSG00000171219,7,3,-4.580969284970698,-0.14636083944113243,CDC42BPG
ENSG00000255234,7,3,-4.298309277493892,-0.4812140117433785,AP000446.1
ENSG00000166012,7,3,-4.208346795041499,-0.6482779632356881,TAF1D
ENSG00000268472,7,3,-4.506991814572749,-0.46158822877676475,AP002884.4
ENSG00000110244,7,3,-4.516942452390132,-0.49855014188559044,APOA4
ENSG00000188486,7,3,-4.220851372678218,-0.631876791551423,H2AFX
ENSG00000148572,7,3,-4.214005898435054,-0.6606464038637399,NRBF2
ENSG00000096717,7,3,-4.276856373746333,-0.47319337232382286,SIRT1
ENSG00000272988,7,3,-4.491513203580317,-0.49264427526266563,AC022392.1
ENSG00000120053,7,3,-4.218710850675044,-0.6205763469484566,GOT1
ENSG00000065154,7,3,-4.2716531266760205,-0.5813302646425484,OAT
ENSG00000271969,7,3,-4.545440625150142,-0.16708585126669395,U47924.1
ENSG00000268439,7,3,-4.559199761350093,0.04576889173715126,EMG1
ENSG00000173262,7,3,-4.57176585098022,-0.2980785022524117,SLC2A14
ENSG00000134294,7,3,-4.324835728604731,-0.5105623851564645,SLC38A2
ENSG00000268069,7,3,-4.178651761014399,-0.18332382543356407,AC004466.1
ENSG00000172602,7,3,-4.228126000363765,-0.6302191863802193,RND1
ENSG00000139549,7,3,-4.397849034268794,-0.4961976657655953,DHH
ENSG00000123416,7,3,-4.214611481625972,-0.6621241222170113,TUBA1B
ENSG00000167553,7,3,-4.363518666226802,-0.5604768644121407,TUBA1C
ENSG00000135406,7,3,-4.592795323331294,-0.0949794898775338,PRPH
ENSG00000110925,7,3,-4.360616158444819,-0.5456841836717843,CSRNP2
ENSG00000135469,7,3,-4.029054116208491,-0.16817876203329551,COQ10A
ENSG00000175197,7,3,-4.2051858415197705,-0.6085724483278512,DDIT3
ENSG00000139438,7,3,-4.553724240262446,-0.27404340608389366,FAM222A
ENSG00000088986,7,3,-4.234651516873774,-0.6106730352190255,DYNLL1
ENSG00000240654,7,3,-4.597404431302485,-0.1465699325350045,C1QTNF9
ENSG00000261097,7,3,-4.5077981462072705,-0.570604647233796,LINC00563
ENSG00000102786,7,3,-4.410142373044429,-0.42837222917349327,INTS6
ENSG00000102554,7,3,-4.480440567929683,-0.4636059652117013,KLF5
ENSG00000175820,7,3,-4.3779482354711865,-0.5176946769502877,CCDC168
ENSG00000125266,7,3,-4.492781590421138,-0.347868527009797,EFNB2
ENSG00000153487,7,3,-4.234718750913081,-0.5920689950731515,ING1
ENSG00000126803,7,3,-4.496445130307612,-0.3316481958177804,HSPA2
ENSG00000233208,7,3,-4.534913491208491,-0.2903455148485421,LINC00642
ENSG00000260806,7,3,-4.216943215329585,-0.6005406032350777,AL163051.1
ENSG00000100664,7,3,-4.233950566251216,-0.5747023473528146,EIF5
ENSG00000104140,7,3,-4.29877943893188,-0.5836606870439767,RHOV
ENSG00000103710,7,3,-4.513663243253169,-0.5661766181734322,RASL12
ENSG00000006327,7,3,-4.084043930966792,-0.6059010873583077,TNFRSF12A
ENSG00000170540,7,3,-4.251517723996577,-0.5808921705034493,ARL6IP1
ENSG00000089280,7,3,-4.3626613130163525,-0.49046727521688926,FUS
ENSG00000260060,7,3,-4.530512284238276,-0.14115103585989464,AC009088.1
ENSG00000261359,7,3,-4.509064625699458,-0.36026021344931114,PYCARD-AS1
ENSG00000177238,7,3,-4.524424504239497,-0.37243136270315635,TRIM72
ENSG00000051108,7,3,-4.045603703458247,-0.673320973947358,HERPUD1
ENSG00000181222,7,3,-4.285643052060542,-0.5164433370378732,POLR2A
ENSG00000161956,7,3,-4.415816258389888,-0.40326162679464805,SENP3
ENSG00000161960,7,3,-4.246493290860591,-0.5782825599458932,EIF4A1
ENSG00000170315,7,3,-4.167591999967036,-0.6673855434206246,UBB
ENSG00000109046,7,3,-4.112800549466548,-0.6292903075960397,WSB1
ENSG00000264486,7,3,-4.562852333981929,-0.2350014100816964,AC061975.4
ENSG00000258472,7,3,-4.610903691251216,-0.1676444659975289,AC005726.1
ENSG00000108256,7,3,-4.376744698483882,-0.49750157697470176,NUFIP2
ENSG00000273559,7,3,-3.600884388883052,-0.5064186702516793,CWC25
ENSG00000263466,7,3,-4.260466526944575,-0.6644469152239083,AC006441.1
ENSG00000263874,7,3,-4.528545807797847,-0.31114479406149376,LINC00672
ENSG00000236383,7,3,-4.087260197598872,-0.215793217256379,LINC00854
ENSG00000182963,7,3,-4.4927811135839795,-0.5189109693315743,GJC1
ENSG00000186834,7,3,-4.47175831695312,-0.3228516231325387,HEXIM1
ENSG00000184361,7,3,-4.545760582883296,-0.3400404105928658,SPATA32
ENSG00000005379,7,3,-4.473766755063472,-0.18373700483114708,TSPOAP1
ENSG00000264672,7,3,-4.568665455777583,-0.01679548127920616,SEPT4-AS1
ENSG00000264954,7,3,-4.4370278825353955,-0.5315425048616647,PRR29-AS1
ENSG00000161547,7,3,-4.24891896148437,-0.593991721704316,SRSF2
ENSG00000141582,7,3,-4.161695431668696,-0.3397575269487618,CBX4
ENSG00000141543,7,3,-4.2956141938757275,-0.5566938768175362,EIF4A3
ENSG00000182676,7,3,-4.56351275344604,0.05280784265725624,PPP1R27
ENSG00000169696,7,3,-4.018335293729243,-0.5437028060701607,ASPSCR1
ENSG00000101361,7,3,-4.344472359616694,-0.5317062984255074,NOP56
ENSG00000177410,7,3,-4.187592934567866,-0.6689446817186593,ZFAS1
ENSG00000124216,7,3,-4.268677185971675,-0.5834840188768624,SNAI1
ENSG00000196415,7,3,-4.547927330930171,-0.2407621989992379,PRTN3
ENSG00000099617,7,3,-4.560652684171138,-0.1303517471101998,EFNA2
