id,module,supermodule,dim_1,dim_2,gene_short_name
ENSG00000272512,4,1,-3.5160035600256303,2.8331165661069635,AL645608.8
ENSG00000188290,4,1,-3.6133474816870073,2.9061531175824884,HES4
ENSG00000187608,4,1,-1.0600053777288774,4.6634295334073785,ISG15
ENSG00000188157,4,1,-1.220642041165767,4.7167225231382135,AGRN
ENSG00000162572,4,1,-3.155108880002437,3.673369680807281,SCNN1D
ENSG00000235098,4,1,-2.118515681226192,4.873321329519439,ANKRD65
ENSG00000008130,4,1,-1.9990548600744584,2.71371678011148,NADK
ENSG00000272449,4,1,-3.516437005002437,2.625633036062408,AL139246.5
ENSG00000131697,4,1,-2.758650969464717,3.237809454366851,NPHP4
ENSG00000069424,4,1,-2.6052486409735063,2.0167925109121088,KCNAB2
ENSG00000180758,4,1,-2.069899510343013,4.714186941549468,GPR157
ENSG00000228526,4,1,-1.6626502980779985,6.196908031866241,MIR34AHG
ENSG00000178585,4,1,-2.0721311082434037,4.213881527349639,CTNNBIP1
ENSG00000162444,4,1,-2.543977688748775,3.9068847049924615,RBP7
ENSG00000054523,4,1,-2.6560632695745805,1.785030757352996,KIF1B
ENSG00000142657,4,1,-2.440105627973018,3.883272205755401,PGD
ENSG00000116663,4,1,-0.929991554219661,4.519589935705352,FBXO6
ENSG00000177674,4,1,-2.2281810750555375,3.8769276489469293,AGTRAP
ENSG00000177000,4,1,-2.586738299329219,2.0069511284085992,MTHFR
ENSG00000120949,4,1,-3.5011133660864213,2.883157884046722,TNFRSF8
ENSG00000028137,4,1,-2.6577302922796586,2.633691226408172,TNFRSF1B
ENSG00000162496,4,1,-3.0407449712347367,1.8761300195905448,DHRS3
ENSG00000272482,4,1,-2.967386197049556,2.0183218468877557,AC254633.1
ENSG00000171729,4,1,-2.091959189374385,3.0783324588987115,TMEM51
ENSG00000142621,4,1,-2.6911167611669877,2.448031341001678,FHAD1
ENSG00000162438,4,1,-3.26280064483398,4.949555670187164,CTRC
ENSG00000116786,4,1,-2.393460701901851,1.7383916427346946,PLEKHM2
ENSG00000159363,4,1,-2.762345503766475,1.9089396943303825,ATP13A2
ENSG00000117115,4,1,-2.6260058393072465,3.671176945135284,PADI2
ENSG00000159339,4,1,-2.6494853009771684,3.8398239959928278,PADI4
ENSG00000276747,4,1,-1.6695210446905473,4.171916519567657,PADI6
ENSG00000179051,4,1,-2.7566470613073686,2.2795110096189264,RCC2
ENSG00000074964,4,1,-1.8871867169927934,3.19099846975534,ARHGEF10L
ENSG00000169991,4,1,-2.773596714932857,1.9803930868360282,IFFO2
ENSG00000127481,4,1,-2.6733412255834916,3.7614560474607233,UBR4
ENSG00000158825,4,1,-2.495192479093013,3.892540251180816,CDA
ENSG00000173372,4,1,-1.73596901794189,3.9621377338620904,C1QA
ENSG00000159189,4,1,-1.6054555883001664,4.007298265859771,C1QC
ENSG00000173369,4,1,-1.6958376874517778,4.004856621191192,C1QB
ENSG00000133216,4,1,-2.3780457486700395,4.1524291385862115,EPHB2
ENSG00000117308,4,1,-3.5462746133398393,2.6809258808347467,GALE
ENSG00000179163,4,1,-2.4975695123266557,2.6954636921140436,FUCA1
ENSG00000162430,4,1,-2.032419156033931,2.703630362913299,SELENON
ENSG00000130695,4,1,-2.4705087651800492,2.503881966039825,CEP85
ENSG00000158062,4,1,-2.0925516595434526,3.1614755739423517,UBXN11
ENSG00000253368,4,1,-3.002591322858272,2.9208351721021417,TRNP1
ENSG00000126705,4,1,-2.835465382535396,1.7919591118547202,AHDC1
ENSG00000126709,4,1,-1.012481402356563,4.680003439352203,IFI6
ENSG00000158156,4,1,-1.3291422833990434,3.935541902944732,XKR8
ENSG00000169403,4,1,-2.1057261933874467,3.733905588552642,PTAFR
ENSG00000130766,4,1,-3.0089616288732866,1.9708047260495902,SESN2
ENSG00000270103,4,1,-3.1540679444860795,3.996816669866729,AL360012.1
ENSG00000168528,4,1,-2.4762870778631547,3.841907297537017,SERINC2
ENSG00000162522,4,1,-2.0849716176580766,3.7031791557523492,KIAA1522
ENSG00000116514,4,1,-3.437738846738277,4.777784620687652,RNF19B
ENSG00000134686,4,1,-3.8524112214636186,4.039694343969512,PHC2
