id,module,supermodule,dim_1,dim_2,gene_short_name
ENSG00000116237,6,2,3.3760838995385787,5.276807342931915,ICMT
ENSG00000097021,6,2,3.403228570025029,5.343305622503448,ACOT7
ENSG00000251503,6,2,3.4475083837915084,5.474664722845245,CENPS-CORT
ENSG00000007968,6,2,3.4575770388055465,5.879000221655059,E2F2
ENSG00000127423,6,2,3.4249303827691695,5.364419495031524,AUNIP
ENSG00000117632,6,2,3.406060267489018,5.373503719732452,STMN1
ENSG00000092853,6,2,3.4371872435022017,5.388047729894805,CLSPN
ENSG00000134690,6,2,3.71486311058289,5.790625606939483,CDCA8
ENSG00000117399,6,2,3.615026045839848,6.2197814335080865,CDC20
ENSG00000142945,6,2,3.599407483141484,6.10458854334085,KIF2C
ENSG00000085999,6,2,3.4364119062829634,5.3504128803464654,RAD54L
ENSG00000123473,6,2,3.5038838873315474,5.935108219549346,STIL
ENSG00000085840,6,2,3.4373481760430953,5.358792339727569,ORC1
ENSG00000162607,6,2,3.351471472780766,5.176151787206817,USP1
ENSG00000024526,6,2,3.619391728441777,6.218991314336944,DEPDC1
ENSG00000188610,6,2,3.619739581148686,6.27001241342752,FAM72B
ENSG00000173207,6,2,3.3989787588525435,5.440522705480743,CKS1B
ENSG00000143228,6,2,3.53697757820374,6.005920444891143,NUF2
ENSG00000066279,6,2,3.5863619337487838,6.158728634283233,ASPM
ENSG00000118193,6,2,3.5780258665490767,6.142570530340362,KIF14
ENSG00000077152,6,2,3.501364518206181,5.812653576299835,UBE2T
ENSG00000117650,6,2,3.5920050630975386,6.183100735113311,NEK2
ENSG00000143476,6,2,3.459458876650395,5.350167309209991,DTL
ENSG00000117724,6,2,3.703995514910283,5.846374069616485,CENPF
ENSG00000196890,6,2,3.390749026339116,5.480206047460723,HIST3H2BB
ENSG00000174371,6,2,3.4310925493646285,5.478195702001739,EXO1
ENSG00000171848,6,2,3.5469751844812056,5.64705041544168,RRM2
ENSG00000284681,6,2,3.5530102739740035,6.054286991522003,AC007240.1
ENSG00000138092,6,2,3.397535849611821,5.331606899664092,CENPO
ENSG00000115163,6,2,3.726903487246098,5.833119903967071,CENPA
ENSG00000121152,6,2,3.6104579458642623,5.6739039768430475,NCAPH
ENSG00000169679,6,2,3.5985537062097213,6.216591392919708,BUB1
ENSG00000169607,6,2,3.6273351202417037,5.671089207098174,CKAP2L
ENSG00000076003,6,2,3.463686038057866,5.284567152425933,MCM6
ENSG00000152253,6,2,3.5125647077966353,5.930905853674102,SPC25
ENSG00000144395,6,2,3.4836538324762008,5.456166302129913,CCDC150
ENSG00000163535,6,2,3.5647683630395552,6.1563048710080865,SGO2
ENSG00000155755,6,2,3.442554045717778,5.605964218542266,TMEM237
ENSG00000138376,6,2,3.3239706049371383,5.195269857809234,BARD1
ENSG00000123485,6,2,3.706892777483525,5.708692108556915,HJURP
ENSG00000222032,6,2,3.4394615183282515,5.444280182287383,AC112721.2
ENSG00000168393,6,2,3.362807322542729,5.273685966894317,DTYMK
ENSG00000129810,6,2,3.459411908190312,5.769045864507842,SGO1
ENSG00000163808,6,2,3.553659487764897,6.044157539770294,KIF15
ENSG00000183763,6,2,3.5497920999932906,5.9972777713987115,TRAIP
ENSG00000164087,6,2,3.441359568636479,5.386549030706573,POC1A
ENSG00000163507,6,2,3.534337569277348,6.165981327459503,CIP2A
ENSG00000051341,6,2,3.449376631777348,5.415415798589874,POLQ
ENSG00000073111,6,2,3.4320245275903365,5.338350807592559,MCM2
ENSG00000113810,6,2,3.361243773500981,5.961519276067901,SMC4
ENSG00000114346,6,2,3.4343886862207076,5.784515415594268,ECT2
ENSG00000163918,6,2,3.385632086794438,5.266253982946563,RFC4
ENSG00000109805,6,2,3.5680671225000045,6.065036331579376,NCAPG
ENSG00000164032,6,2,3.3781440744805953,5.255572830602813,H2AFZ
ENSG00000138778,6,2,3.5404136667657515,6.0883279194089654,CENPE
ENSG00000249604,6,2,3.5725670347619674,6.174810444280792,AC096564.2
ENSG00000138658,6,2,3.4198153505731246,5.35815242426126,ZGRF1
ENSG00000281731,6,2,3.5401487837243697,6.1488442768308404,AC110079.2
ENSG00000164109,6,2,3.4753542433190963,5.448328529760528,MAD2L1
ENSG00000145386,6,2,3.6189582834649703,5.829399143621612,CCNA2
ENSG00000142731,6,2,3.438956070940556,5.406095539495635,PLK4
ENSG00000121211,6,2,3.45411567787415,5.62404826776712,MND1
ENSG00000164118,6,2,3.040973712008061,5.0215554584714654,CEP44
ENSG00000109674,6,2,3.567826558153691,6.13894084589212,NEIL3
ENSG00000151725,6,2,3.4478726873803756,5.43330005304544,CENPU
ENSG00000071539,6,2,3.4851394186425826,5.9054198612424615,TRIP13
ENSG00000035499,6,2,3.5461483488488814,6.0968871463987115,DEPDC1B
ENSG00000134057,6,2,3.6129696855950972,6.233975445196319,CCNB1
ENSG00000153044,6,2,3.3728249559808394,5.31755355493753,CENPH
ENSG00000228716,6,2,3.435640383760991,5.396216904089141,DHFR
ENSG00000112984,6,2,3.5998435507226607,6.1829324115964654,KIF20A
ENSG00000158402,6,2,3.6293461809564254,6.220988785192657,CDC25C
ENSG00000164611,6,2,3.5229828844476363,6.064417873785186,PTTG1
ENSG00000072571,6,2,3.6234982500482222,6.214391266271758,HMMR
ENSG00000040275,6,2,3.5054426680017134,5.8732142795774225,SPDL1
ENSG00000112312,6,2,3.4584317694116256,5.610839401647735,GMNN
ENSG00000274267,6,2,3.5302672872949263,5.996456180975128,HIST1H3B
ENSG00000278272,6,2,3.685222674410405,5.718986069128204,HIST1H3C
ENSG00000277157,6,2,3.3070853243280074,5.698500191137481,HIST1H4D
ENSG00000282988,6,2,3.0099826345849654,5.661782776281524,AL031777.3
